고추장아찌,30
깻잎장아찌,30
마늘장아찌,30
매실장아찌,30
무장아찌,30
양념게장,200
양파장아찌,50
오이지,50
계적,250
낙지꼬지,80
돔베기적,100
소고기산적,200
소라산적,80
오징어산적,80
홍어적,100
홍합산적,80
가자미전,150
감자전,200
고추전,150
굴전,100
김치전,150
깻잎전,150
녹두빈대떡,100
달걀말이,100
동그랑땡(육원전),150
동태전,150
두부부침,100
두부전,150
미나리전,150
배추전,150
버섯전,150
부추전,150
야채전,100
파전,150
해물파전,150
햄부침,100
호박부침개,100
호박전,150
화양적,150
가자미조림,300
갈치조림,100
고등어조림,250
고추조림,100
꽁치조림,150
동태조림,250
돼지고기메추리알장조림,50
두부조림,50
땅콩조림,20
북어조림,100
소고기메추리알장조림,50
연근조림,30
우엉조림,30
조기조림,300
콩조림,20
게살죽,800
깨죽,800
닭죽(성남),1000
백합죽(부안),700
소고기버섯죽,800
어죽(영동),800
잣죽,700
전복죽,800
참치죽,800
채소죽,800
팥죽,600
호박죽,600
고등어찌개,600
김치찌개,400
꽁치찌개,300
동태찌개,800
된장찌개,400
두부전골,500
버섯찌개,400
부대찌개,600
부대찌개(의정부),600
새우젓두부찌개,300
소곱창전골,600
쇠고기전골,300
순두부찌개,400
청국장찌개,400
콩비지찌개,400
햄김치찌개,300
호박찌개,300
깻잎찜,100
달걀찜,250
닭찜,500
대구찜,500
도미찜,100
동태찜,500
돼지고기 수육,300
돼지등갈비찜,450
돼지머리고기,200
매운갈비찜(대구중구),300
문어숙회,80
민어찜,100
병어찜,100
북어찜,150
붕어찜(경기광주),1100
소갈비찜,250
순대 ,300
아구찜,400
아구찜(마산),750
안동찜닭(안동),1500
전어찜,100
조기찜,100
족발,150
참꼬막,80
한방오리백숙,300
해물찜,500
홍어찜,250
갈낙탕(영암),400
갈비탕,600
감자탕,900
곰탕,700
곰탕(나주),300
광어매운탕,600
꼬리곰탕,700
꽃게탕,600
낙지탕,600
내장탕,700
닭곰탕,650
닭볶음탕,300
대구매운탕,600
대구지리탕,600
도가니탕,800
메기매운탕,600
복지리탕,600
삼계탕,1000
설렁탕,600
소탕,150
아구탕,600
알탕,700
어탕,150
연포탕,1000
오리탕,600
우럭매운탕,600
육탕,150
장어탕,800
전복탕,600
조기매운탕,600
짱뚱어탕(순천),600
추어탕,700
추어탕(남원),1000
해물탕,600
감자튀김,150
고구마맛탕,200
고구마튀김,100
고추튀김,100
김말이튀김,100
닭강정,100
닭튀김,300
등심돈가스,200
모래집튀김(대구동구),150
미꾸라지튀김,100
새우튀김,100
생선까스,200
안심돈가스,200
양념치킨,200
오징어튀김,100
쥐포튀김,100
채소튀김,100
치즈돈가스,250
치킨까스,200
대구포,100
북어포,20
매작과,30
산자,30
송화다식,30
약과,30
유과,30
